"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Datum gestartet","Datum letzte Aktivität","Weiterleitungs-URL","Welche der folgenden Kategorien trifft auf dich zu?","Welcher Fakultät gehörst du an?","Welcher Fakultät gehörst du an? [Sonstiges]","Studierst du im Rahmen eines Austauschprogramms an der Hochschule Reutlingen?","Bist du älter als 26 Jahre?","Wie bewertest du deinen Wissensstand zum Deutschlandticket?","Wie bewertest du deinen Wissensstand zum Vollsolidarmodell an Hochschulen?","Welche Verkehrsmittel nutzt du aktuell am meisten, um zur Hochschule zu kommen?  [Rank 1]","Welche Verkehrsmittel nutzt du aktuell am meisten, um zur Hochschule zu kommen?  [Rank 2]","Welche Verkehrsmittel nutzt du aktuell am meisten, um zur Hochschule zu kommen?  [Rank 3]","Wie häufig nutzt du aktuell den Öffentlichen Nahverkehr, um zur Hochschule zu kommen?","Wie häufig nutzt du den Öffentlichen Nahverkehr ansonsten?","Wie viel gibst du aktuell pro Monat für deine Mobilität aus? [Ausgaben in Euro]","Wie weit von der Hochschule entfernt wohnst du circa? [Abstand in Kilometern]","Wie lange brauchst du in der Regel zur Hochschule? [Dauer in Minuten]","Hast du aktuell eines der folgenden Tickets?","Hast du aktuell eines der folgenden Tickets? [Sonstiges]","Wie wichtig ist dir die Klimafreundlichkeit der von dir genutzten Verkehrsmittel?","Wie stehst du zur Einführung des Deutschlandtickets im Vollsolidarmodell an der Hochschule Reutlingen?","Hältst du den genannten Betrag von 29,40€ pro Monat (180€ pro Semester) für angemessen?  Info: Aktuell zahlst du bereits circa 30€ pro Semester als Teilsolidarbeitrag in deinem Semesterbeitrag - unabhängig davon, ob du ein Ticket nutzt! ","Welchen Betrag findest du angemessen? [Betrag pro Semester in Euro]","Wie fair findest du, dass alle den Beitrag zahlen - auch, wenn sie das Ticket nicht nutzen?","Erwartest du, dass das Deutschlandticket im Vollsolidarmodell deine Nutzung des Öffentlichen Nahverkehrs verändern würde?","Welche Alternativen zum Deutschlandticket im Vollsolidarmodell würdest du vorschlagen?","Gesamtzeit","Gruppenzeit: Fragen zur Person","Fragenzeit: G01Q01","Fragenzeit: G01Q02","Fragenzeit: G01Q03","Fragenzeit: G01Q04","Gruppenzeit: Allgemeiner Wissensstand zum Deutschlandticket im Vollsolidarmodel","Fragenzeit: G02Q01","Fragenzeit: G02Q02","Gruppenzeit: Aktuelle Mobilität / Nutzung von Verkehrsmitteln","Fragenzeit: G04Q01","Fragenzeit: G04Q02","Fragenzeit: G04Q03","Fragenzeit: G04Q04","Fragenzeit: G04Q05","Fragenzeit: G04Q06","Fragenzeit: G04Q07","Gruppenzeit: Einstellung zu Klimafreundlichkeit im Verkehr","Fragenzeit: G05Q01","Gruppenzeit: Informierte Stellung zum Deutschlandticket im Vollsolidarmodell an der Hochschule Reutlingen","Fragenzeit: G03Q01","Gruppenzeit: Einstellung zu genannten Konditionen","Fragenzeit: G06Q01","Fragenzeit: G06Q02","Fragenzeit: G06Q03","Gruppenzeit: Auswirkung auf Teilnehmer","Fragenzeit: G07Q01","Gruppenzeit: Alternativen","Fragenzeit: G08Q01"
"55","2024-06-20 09:56:57","8","de","1057491540","2024-06-20 09:53:36","2024-06-20 09:56:57",,"Student:in","LS","","Nein","Nein","Eher schlecht","Sehr schlecht","Auto","Bus und Bahn","Zu Fuß","Einmal pro Woche","Mehrmals pro Woche","50","8","30","Ich habe kein vergleichbares Ticket","","Eher wichtig","Sehr positiv","Ja",,"Eher unfair","Sehr","","203.69","13.12",,,,,"19.74",,,"74.96",,,,,,,,"6.44",,"51.67",,"23.88",,,,"8.71",,"5.17",
"56",,"4","de","501093138","2024-06-20 10:03:17","2024-06-20 10:05:51",,"Student:in","TEC","","Nein","Nein","Eher schlecht","Eher schlecht","Fahrgemeinschaft","Auto","","Nie","Einmal pro Woche","180","30","40","Ich habe kein vergleichbares Ticket","","Sehr wichtig",,"N/A",,,,,"155.61","13.31",,,,,"21.2",,,"103.55",,,,,,,,"17.55",,,,,,,,,,,
"57","2024-06-20 10:12:57","8","de","456156229","2024-06-20 10:09:26","2024-06-20 10:12:57",,"Student:in","LS","","Nein","Ja","Eher gut","Eher schlecht","Auto","Fahrrad","Zu Fuß","Nie","Nie","0","25","40","Ich habe kein vergleichbares Ticket","","Eher wichtig","Eher ablehnend","Nein","0","Sehr unfair","Gar nicht","","213.7","11.15",,,,,"23.39",,,"63.03",,,,,,,,"6.98",,"22.16",,"77.24",,,,"6.38",,"3.37",
"58","2024-06-20 10:26:27","8","de","1369437999","2024-06-20 10:18:55","2024-06-20 10:26:27","android-app://com.google.android.googlequicksearchbox/","Student:in","TEC","","Nein","Nein","Eher gut","Sehr schlecht","Bus und Bahn","Fahrrad","","Weniger als einmal pro Woche","Einmal pro Woche","70","5","20","Deutschlandticket","","Eher wichtig","Eher positiv","Ja",,"Eher unfair",,"","453.34","25.8",,,,,"51.27",,,"133.02",,,,,,,,"27.66",,"98.35",,"111.15",,,,,,"6.09",
"59","2024-06-20 11:00:26","8","de","1577915120","2024-06-20 10:56:55","2024-06-20 11:00:26",,"Student:in","TEX","","Nein","Nein","Eher gut","Eher schlecht","Bus und Bahn","Zu Fuß","Auto","Mehrmals pro Woche","Einmal pro Woche","55","1","15","JugendBW-Ticket","","Eher wichtig","Sehr positiv","Ja",,"Eher unfair",,"","214.73","10.21",,,,,"13.39",,,"127.69",,,,,,,,"7.85",,"11.21",,"41.42",,,,,,"2.96",
"60","2024-06-20 11:15:52","8","de","1941497873","2024-06-20 11:04:27","2024-06-20 11:15:52",,"Student:in","TEX","","Nein","Nein","Eher gut","Eher schlecht","Fahrrad","Bus und Bahn","","Einmal pro Woche","Mehrmals pro Woche","50","4","20","JugendBW-Ticket","","Sehr wichtig","Sehr positiv","Ja",,"Eher unfair",,"","687.76","44.72",,,,,"30.93",,,"384.26",,,,,,,,"7.04",,"65.26",,"149.92",,,,,,"5.63",
"61",,"2","de","1345489756","2024-06-20 11:19:19","2024-06-20 11:19:45",,"Student:in","INF","","Nein","Nein","Eher schlecht","Eher schlecht",,,,,,,,,,,,,"N/A",,,,,"26.27","9.89",,,,,"16.38",,,,,,,,,,,,,,,,,,,,,,
"62",,"4","de","2142273451","2024-06-20 12:13:10","2024-06-20 12:15:28",,"Student:in","TEC","","Nein","Nein","Eher schlecht","Sehr schlecht","Auto","","","Nie","Weniger als einmal pro Woche","140","28","40","Ich habe kein vergleichbares Ticket","","Eher wichtig",,"N/A",,,,,"139.69","23.51",,,,,"14.66",,,"77.37",,,,,,,,"24.15",,,,,,,,,,,
"63","2024-06-20 12:17:05","8","de","1920462430","2024-06-20 12:13:21","2024-06-20 12:17:05",,"Student:in","INF","","Nein","Nein","Eher gut","Eher schlecht","Fahrrad","Auto","Bus und Bahn","Weniger als einmal pro Woche","Einmal pro Woche","100","3","20","JugendBW-Ticket","","Eher wichtig","Sehr positiv","Ja",,"Sehr fair",,"","225.57","15.61",,,,,"18.34",,,"92.53",,,,,,,,"11.05",,"52.36",,"31.55",,,,,,"4.13",
"64",,"2","de","27068847","2024-06-20 12:29:21","2024-06-20 12:29:40",,"Professor:in/Lehrbeauftragte:r","INF","","N/A","N/A","Eher gut","Eher gut",,,,,,,,,,,,,"N/A",,,,,"19.45","8.94",,,,,"10.51",,,,,,,,,,,,,,,,,,,,,,
"65",,"7","de","2107016667","2024-06-20 12:48:31","2024-06-20 13:06:41",,"Student:in","TEC","","Nein","Nein","Eher gut","Sehr schlecht","Auto","Bus und Bahn","","Mehrmals pro Woche","Mehrmals pro Woche","85","5","25","JugendBW-Ticket","","Eher wichtig","Eher positiv","Nein","25","Eher unfair",,"","618","28.06",,,,,"24.68",,,"258.88",,,,,,,,"14.68",,"178.77",,"96.13",,,,,,"16.8",
"66",,"2","de","381439296","2024-06-20 12:51:37","2024-06-20 12:52:18",,"Student:in","ESB","","Nein","Nein","Eher gut","Eher gut",,,,,,,,,,,,,"N/A",,,,,"41.76","20.75",,,,,"21.01",,,,,,,,,,,,,,,,,,,,,,
"67","2024-06-20 12:53:49","8","de","1755454153","2024-06-20 12:51:40","2024-06-20 12:53:49","https://hsrtdeutschlandticket.limesurvey.net/surveyAdministration/view?iSurveyID=192761","Student:in","INF","","Nein","Nein","Sehr Gut","Sehr gut","Auto","Bus und Bahn","","Nie","Mehrmals pro Woche","30","40","36","JugendBW-Ticket","","Eher wichtig","Sehr positiv","Ja",,"Sehr fair",,"","131.83","11.57",,,,,"6.56",,,"83.81",,,,,,,,"7.14",,"8.36",,"10.1",,,,,,"4.29",
"68",,"5","de","1515285583","2024-06-20 13:29:47","2024-06-20 13:31:58",,"Student:in","TEX","","Nein","Nein","Eher gut","Eher gut","Bus und Bahn","Zu Fuß","Auto","Täglich","Mehrmals pro Woche","110","11","30","JugendBW-Ticket","","Eher unwichtig","Eher positiv","N/A",,,,,"157.26","13.95",,,,,"14.77",,,"53.77",,,,,,,,"15.69",,"59.08",,,,,,,,,
"69","2024-06-20 13:55:31","8","de","1772503334","2024-06-20 13:49:57","2024-06-20 13:55:31",,"Student:in","LS","","Nein","Nein","Sehr Gut","Sehr schlecht","Bus und Bahn","Fahrgemeinschaft","Zu Fuß","Täglich","Mehrmals pro Woche","25","4","25","Deutschlandticket","","Sehr wichtig","Eher positiv","Ja",,"Eher unfair",,".","336.66","20.57",,,,,"17.98",,,"199.51",,,,,,,,"7.88",,"58.96",,"24.17",,,,,,"7.59",
"70","2024-06-20 14:21:52","8","de","556487240","2024-06-20 14:17:55","2024-06-20 14:21:52",,"Student:in","LS","","Nein","Nein","Sehr Gut","Eher schlecht","Bus und Bahn","Fahrrad","Zu Fuß","Täglich","Täglich","40","5","30","Naldo Semesterticket","","Sehr wichtig","Sehr positiv","Nein","120","Eher unfair",,"","239.99","11.2",,,,,"13.29",,,"87.9",,,,,,,,"7.34",,"39.05",,"72.87",,,,,,"8.34",
"71",,"5","de","1745930764","2024-06-20 14:38:39","2024-06-20 14:42:23",,"Student:in","INF","","Nein","Nein","Eher gut","Sehr schlecht","Bus und Bahn","Zu Fuß","Auto","Täglich","Täglich","190","15","25","Naldo Semesterticket","","Eher wichtig","Eher positiv","Nein",,"Sehr unfair",,,"226.19","14.54",,,,,"23.08",,,"110.37",,,,,,,,"6.02",,"26.72",,"45.46",,,,,,,
"72","2024-06-20 15:07:41","8","de","1242501508","2024-06-20 15:05:10","2024-06-20 15:07:41",,"Student:in","LS","","Nein","Nein","Eher schlecht","Eher schlecht","Zu Fuß","Auto","Bus und Bahn","Mehrmals pro Woche","Mehrmals pro Woche","100","10","20","Deutschlandticket","","Eher wichtig","Sehr positiv","Ja",,"Eher unfair",,"","152.86","11.93",,,,,"9.7",,,"51.91",,,,,,,,"7.06",,"47.76",,"20.14",,,,,,"4.36",
"73","2024-06-20 15:27:02","8","de","960248727","2024-06-20 15:20:27","2024-06-20 15:27:02",,"Student:in","LS","","Nein","Nein","Eher gut","Eher schlecht","Bus und Bahn","","","Täglich","Mehrmals pro Woche","35","10","50","JugendBW-Ticket","","Eher wichtig","Eher positiv","Ja",,"Sehr unfair",,"","398.59","24.84",,,,,"27.43",,,"217.6",,,,,,,,"13.51",,"65.2",,"44.69",,,,,,"5.32",
"74","2024-06-20 15:24:48","8","de","1344494582","2024-06-20 15:20:36","2024-06-20 15:24:48",,"Student:in","Sonstiges","HfWU nürtingen-geislingen","Nein","Nein","Eher schlecht","Sehr schlecht","Auto","Bus und Bahn","","Nie","Einmal pro Woche","135","75","75","Ich habe kein vergleichbares Ticket","","Sehr wichtig","Eher positiv","Ja",,"Eher fair","Sehr","","253.85","28.28",,,,,"13.15",,,"118.44",,,,,,,,"8.42",,"47.32",,"28.01",,,,"7.19",,"3.04",
"75","2024-06-20 15:26:23","8","de","1271705360","2024-06-20 15:23:14","2024-06-20 15:26:23",,"Student:in","ESB","","Nein","Nein","Eher gut","Sehr schlecht","Zu Fuß","Auto","Bus und Bahn","Täglich","Mehrmals pro Woche","150","5","20","Naldo Semesterticket","","Eher wichtig","Sehr positiv","Ja",,"Sehr unfair",,"","191.74","61.28",,,,,"14.62",,,"73.51",,,,,,,,"8.9",,"12.17",,"16.88",,,,,,"4.38",
"76","2024-06-20 15:53:34","8","de","78982464","2024-06-20 15:50:52","2024-06-20 15:53:34","https://l.instagram.com/","Student:in","INF","","Nein","Nein","Sehr Gut","Sehr gut","Zu Fuß","Auto","","Nie","Nie","250","1","3","Sonstiges","Nein","Nicht wichtig","Sehr ablehnend","Nein","0","Sehr unfair",,"","164.61","11.41",,,,,"10.14",,,"70.48",,,,,,,,"13.27",,"22.19",,"31.56",,,,,,"5.56",
"77","2024-06-20 15:58:48","8","de","1937379410","2024-06-20 15:53:48","2024-06-20 15:58:48",,"Student:in","INF","","Nein","Nein","Eher gut","Sehr schlecht","Auto","Fahrrad","Bus und Bahn","Weniger als einmal pro Woche","Mehrmals pro Woche","100","4","15","Deutschlandticket","","Eher wichtig","Eher positiv","Ja",,"Eher unfair",,"","303.6","16.08",,,,,"16.55",,,"144.53",,,,,,,,"12.21",,"50.64",,"47.92",,,,,,"15.67",
"78",,"2","de","1817314188","2024-06-20 15:54:57","2024-06-20 15:56:30","https://l.instagram.com/","Student:in","ESB","","Ja","Nein","Eher schlecht","Eher schlecht",,,,,,,,,,,,,"N/A",,,,,"94.34","66.6",,,,,"27.74",,,,,,,,,,,,,,,,,,,,,,
"79",,"1","de","1827013042","2024-06-20 15:56:11","2024-06-20 15:56:56","https://l.instagram.com/","Student:in","LS","","Nein","Nein","","",,,,,,,,,,,,,"N/A",,,,,"46.05","33.47",,,,,"12.58",,,,,,,,,,,,,,,,,,,,,,
"80","2024-06-20 15:59:24","8","de","1685181187","2024-06-20 15:56:55","2024-06-20 15:59:24","https://l.instagram.com/","Student:in","INF","","Nein","Nein","Sehr Gut","Sehr gut","Bus und Bahn","Zu Fuß","Auto","Täglich","Täglich","25","15","60","Deutschlandticket","","Eher wichtig","Sehr positiv","Ja",,"Eher fair",,"Keine ","151.66","12.31",,,,,"10.1",,,"62.79",,,,,,,,"7.17",,"26.93",,"24.39",,,,,,"7.97",
"81",,"4","de","119019781","2024-06-20 16:01:13","2024-06-20 16:03:07","https://l.instagram.com/","Student:in","ESB","","Nein","Nein","Eher gut","Sehr schlecht","Zu Fuß","Bus und Bahn","Auto","Nie","Einmal pro Woche","30","0.2","2","Ich habe kein vergleichbares Ticket","","Eher wichtig",,"N/A",,,,,"115.79","10.62",,,,,"12.31",,,"88.13",,,,,,,,"4.73",,,,,,,,,,,
"82","2024-06-20 16:13:27","8","de","789086411","2024-06-20 16:06:22","2024-06-20 16:13:27",,"Student:in","TEC","","Nein","Nein","Eher schlecht","Eher gut","Zu Fuß","","","Weniger als einmal pro Woche","Einmal pro Woche","0","2.3","35","Ich habe kein vergleichbares Ticket","","Eher wichtig","Sehr positiv","Nein","15","Eher unfair","Sehr","","426.78","15.98",,,,,"63.58",,,"161.4",,,,,,,,"13.55",,"85.2",,"70.94",,,,"9.64",,"6.49",
"83","2024-06-20 16:13:17","8","de","1791133948","2024-06-20 16:09:30","2024-06-20 16:13:17","https://l.instagram.com/","Student:in","ESB","","Ja","Nein","Sehr Gut","Eher schlecht","Bus und Bahn","Zu Fuß","","Mehrmals pro Woche","Täglich","50","1","10","Deutschlandticket","","Eher wichtig","Sehr positiv","Ja",,"Eher unfair",,"","291.97","16.52",,,,,"19.98",,,"79.71",,,,,,,,"115.61",,"42.36",,"14.46",,,,,,"3.33",
"84","2024-06-20 16:20:13","8","de","32317467","2024-06-20 16:12:22","2024-06-20 16:20:13","https://l.instagram.com/","Student:in","TEX","","Nein","Nein","Eher schlecht","Sehr schlecht","Zu Fuß","","","Nie","Weniger als einmal pro Woche","15","0","1","Ich habe kein vergleichbares Ticket","","Nicht wichtig","Eher positiv","Nein","100","Eher unfair","Sehr","","473.4","18.32",,,,,"33.26",,,"191.25",,,,,,,,"12.59",,"103.42",,"86",,,,"21.35",,"7.21",
"85","2024-06-20 16:16:34","8","de","754757128","2024-06-20 16:13:15","2024-06-20 16:16:34","https://l.instagram.com/","Student:in","TEC","","Nein","Nein","Eher schlecht","Eher schlecht","Fahrrad","Auto","Bus und Bahn","Weniger als einmal pro Woche","Weniger als einmal pro Woche","15","3","15","Deutschlandticket","","Eher wichtig","Eher positiv","Ja",,"Eher fair",,"","201.5","21.57",,,,,"16.43",,,"75.6",,,,,,,,"6.14",,"48.75",,"26.07",,,,,,"6.94",
"86","2024-06-20 16:20:55","8","de","315858085","2024-06-20 16:18:08","2024-06-20 16:20:55",,"Student:in","ESB","","Nein","Nein","Sehr Gut","Eher gut","Zu Fuß","Bus und Bahn","Fahrrad","Nie","Mehrmals pro Woche","40","0","1","JugendBW-Ticket","","Sehr wichtig","Sehr positiv","Ja",,"Eher unfair",,"","170.16","12.01",,,,,"15.43",,,"79.87",,,,,,,,"8.69",,"28.73",,"22.11",,,,,,"3.32",
"87","2024-06-20 16:21:33","8","de","863869310","2024-06-20 16:18:54","2024-06-20 16:21:33",,"Student:in","LS","","Nein","Nein","Eher gut","Sehr schlecht","Zu Fuß","Auto","Fahrrad","Weniger als einmal pro Woche","Mehrmals pro Woche","100","3","20","Deutschlandticket","","Sehr wichtig","Eher positiv","Ja",,"Eher fair",,"","162.42","12.89",,,,,"15.92",,,"80.62",,,,,,,,"6.1",,"16.7",,"26.77",,,,,,"3.42",
"88","2024-06-20 16:35:47","8","de","348099632","2024-06-20 16:19:06","2024-06-20 16:35:47",,"Student:in","TEX","","Nein","Nein","Sehr Gut","Eher schlecht","Fahrgemeinschaft","Bus und Bahn","","Mehrmals pro Woche","Täglich","35","6","15","JugendBW-Ticket","","Sehr wichtig","Sehr positiv","Nein","15","Eher unfair",,"","1004.76","13.77",,,,,"21.85",,,"54.63",,,,,,,,"6.32",,"9.65",,"893.92",,,,,,"4.62",
"89","2024-06-20 16:22:57","8","de","1212150668","2024-06-20 16:19:28","2024-06-20 16:22:57",,"Student:in","ESB","","Nein","Nein","Eher gut","Eher schlecht","Auto","Zu Fuß","","Weniger als einmal pro Woche","Weniger als einmal pro Woche","350","35","45","Ich habe kein vergleichbares Ticket","","Sehr wichtig","Sehr positiv","Ja",,"Eher fair","Etwas","","213.45","16.39",,,,,"13.57",,,"73.74",,,,,,,,"7.42",,"53.76",,"38.92",,,,"6.57",,"3.08",
"90","2024-06-20 16:26:21","8","de","2142729458","2024-06-20 16:20:58","2024-06-20 16:26:21","https://l.instagram.com/","Student:in","TEC","","Nein","Nein","Eher gut","Eher schlecht","Auto","Fahrrad","Bus und Bahn","Weniger als einmal pro Woche","Weniger als einmal pro Woche","45","7","10","JugendBW-Ticket","","Eher wichtig","Eher positiv","Ja",,"Eher fair",,"","326.97","12.76",,,,,"12.41",,,"110.17",,,,,,,,"6.34",,"161.56",,"18.8",,,,,,"4.93",
"91","2024-06-20 16:23:31","8","de","1331491888","2024-06-20 16:21:12","2024-06-20 16:23:31",,"Student:in","LS","","Nein","Nein","Eher schlecht","Eher schlecht","Bus und Bahn","","","Täglich","Einmal pro Woche","65","3","15","Naldo Semesterticket","","Sehr wichtig","Sehr positiv","Ja",,"Eher fair",,"","141.39","11.52",,,,,"14.69",,,"65.8",,,,,,,,"10.96",,"8.43",,"25.65",,,,,,"4.34",
"92","2024-06-20 16:26:48","8","de","1740947123","2024-06-20 16:24:31","2024-06-20 16:26:48",,"Student:in","INF","","Nein","Nein","Eher gut","Sehr schlecht","Bus und Bahn","Zu Fuß","Fahrrad","Mehrmals pro Woche","Mehrmals pro Woche","80","10","25","Deutschlandticket","","Sehr wichtig","Sehr positiv","Ja",,"Eher fair",,"","139","14.52",,,,,"14.41",,,"45.83",,,,,,,,"12.24",,"21.81",,"25.1",,,,,,"5.09",
